elevator,reason,out_of_service,first_missed,estimated_return
EL329,Repair,2018-03-29 14:00:00+00:00,2018-03-29 22:11:10.349099+00:00,2018-03-29 22:00:00+00:00
EL732,Under Investigation,2018-03-29 14:00:00+00:00,2018-03-29 18:18:08.365880+00:00,2018-03-29 22:00:00+00:00
EL206,Maintenance,2018-03-29 13:45:00+00:00,2018-03-29 16:48:08.506133+00:00,2018-03-29 22:00:00+00:00
EL214,Repair,2018-03-29 13:20:00+00:00,2018-03-29 14:26:08.487053+00:00,2018-03-29 21:00:00+00:00
EL319,Repair,2018-03-29 13:15:00+00:00,2018-03-29 19:18:08.824723+00:00,2018-03-29 21:00:00+00:00
EL420,Repair,2018-03-29 13:15:00+00:00,2018-03-29 18:49:09.093499+00:00,2018-03-29 20:00:00+00:00
EL303,Repair,2018-03-29 13:02:00+00:00,2018-03-29 18:50:08.879845+00:00,2018-03-29 21:00:00+00:00
EL136,Repair,2018-03-29 12:55:00+00:00,2018-03-29 13:40:06.853074+00:00,2018-03-29 21:00:00+00:00
EL116,Under Investigation,2018-03-29 12:47:00+00:00,2018-03-29 14:31:08.906512+00:00,2018-03-29 21:00:00+00:00
EL183,Repair,2018-03-29 12:55:00+00:00,2018-03-29 17:14:08.611745+00:00,2018-03-29 21:00:00+00:00
EL110,Under Investigation,2018-03-29 12:30:00+00:00,2018-03-29 16:38:08.428385+00:00,2018-03-29 20:00:00+00:00
EL309,Under Investigation,2018-03-29 12:10:00+00:00,2018-03-29 12:26:08.699206+00:00,2018-03-29 16:00:00+00:00
EL245,Under Investigation,2018-03-29 11:53:00+00:00,2018-03-29 18:38:09.281812+00:00,2018-03-29 20:00:00+00:00
EL294X,Repair,2018-03-29 05:20:00+00:00,2018-03-29 21:21:08.532569+00:00,2018-03-29 14:00:00+00:00
EL295X,Repair,2018-03-29 05:30:00+00:00,2018-03-29 17:44:08.572698+00:00,2018-03-29 14:00:00+00:00
EL425,Under Investigation,2018-03-29 08:45:00+00:00,2018-03-29 15:44:08.591630+00:00,2018-03-29 17:00:00+00:00
EL305,Under Investigation,2018-03-29 08:46:00+00:00,2018-03-29 09:34:09.116741+00:00,2018-03-29 16:00:00+00:00
