station,mta_id,location
161 St - Yankee Stadium - (ID: 3),EL134,"MEZZANINE TO DOWNTOWN B, D"
Church Av - (ID: 74),EL374,MEZZANINE TO UPTOWN
Marcy Av - (ID: 64),EL392,STREET TO MEZZANINE AND DOWNTOWN PLATFORM
125 St - (ID: 27),EL126,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS
59 St - Columbus Cir - (ID: 29),EL280,STREET TO MEZZANINE AND UPTOWN 1 PLATFORM
233 St - (ID: 44),EL192,STREET TO MEZZANINE
14 St - Union Sq - (ID: 36),EL220,MEZZANINE TO DOWNTOWN PLATFORM(N&R;)
Junction Blvd - (ID: 73),EL426,OVERPASS TO DOWNTOWN PLATFORM
Kingsbridge Road - (ID: 72),EL189,STREET TO MEZZANINE
Bowling Green - (ID: 71),EL710,STREET TO MEZZANINE & UPTOWN PLATFORM
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM
Briarwood/Van Wyck Blvd - (ID: 70),EL424,STREET TO MEZZANINE
Clark St - (ID: 10),EL312,LOWER MEZZANINE TO STREET
179 St - Jamaica - (ID: 4),EL433,MEZZANINE TO PLATFORM
Coney Island Stillwell Av - (ID: 66),EL701,OVERPASS TO N PLATFORM
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN
Fulton St - (ID: 13),EL719,LOWER MEZZANINE TO PLATFORM
Forest Hills - 71 Av - (ID: 69),EL437,STREET TO MEZZANINE ALL TRAINS
135 St - (ID: 19),EL181,STREET TO MEZZANINE AND DOWNTOWN PLATFORM
207 St - Inwood - (ID: 24),EL149,MEZZANINE TO PLATFORM
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN
34 St - Hudson Yards - (ID: 52),EL603,UPPER MEZZANINE TO STREET
Flushing Av - (ID: 26),EL395,MEZZANINE TO UPTOWN
42 St - Grand Central - (ID: 49),EL206,"MEZZANINE TO UPTOWN 4,5,6 PLATFORM"
Kew Gardens / Union Tpk - (ID: 48),EL436,MEZZANINE TO PLATFORM
Court Square - (ID: 68),EL445X,STREET TO MEZZANINE
168 St - (ID: 47),EL114,LOWER MEZZANINE TO UPPER MEZZANINE
Far Rockaway - Mott Av - (ID: 67),EL498,STREET TO PLATFORM
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE
Coney Island Stillwell Av - (ID: 66),EL702,OVERPASS TO D PLATFORM
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM
34 St - Penn - (ID: 7),EL215,MEZZANINE TO EXPRESS PLATFORM
86 St / 2 Av - (ID: 65),EL249,PLATFORM TO MEZZANINE
86 St / 2 Av - (ID: 65),EL250,MEZZANINE TO STREET
Marcy Av - (ID: 64),EL391,STREET TO MEZZANINE & UPTOWN PLATFORM
Canal St - (ID: 63),EL325,STREET TO DOWNTOWN 6 PLATFORM
181 St - (ID: 5),EL109,LOWER MEZZANINE TO UPPER MEZZANINE
72 St / 2 Av - (ID: 62),EL267,LOWER MEZZANINE TO STREET
14 St - Union Sq - (ID: 36),EL219,"MEZZANINE TO UPTOWN PLATFORM N,Q,R"
96 St / 2 Av - (ID: 61),EL247,PLATFORM TO MEZZANINE
Roosevelt Island - (ID: 60),EL404,STREET TO UPTOWN PLATFORM
Roosevelt Island - (ID: 60),EL403,STREET TO DOWNTOWN PLATFORM
34 St - Herald Sq - (ID: 22),EL212,MEZZANINE TO UPTOWN
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM
Fulton St - (ID: 13),EL723,UPPER MEZZANINE TO STREET
Court St - (ID: 11),EL308,LOWER MEZZANINE TO UPPER MEZZANINE
181 St - (ID: 5),EL108,LOWER MEZZANINE TO UPPER MEZZANINE
Bay Parkway - (ID: 59),EL376,STREET TO MEZZANINE
Crown Hts - Utica Av - (ID: 54),EL322,STREET TO MEZZANINE
181 St - (ID: 58),EL118,LOWER MEZZANINE TO STREET
34 St - Penn - (ID: 53),EL227,MEZZANINE TO EXPRESS PLATFORM
Fulton St - (ID: 13),EL722,UPPER MEZZANINE TO STREET
175 St - (ID: 57),EL124,MEZZANINE TO PLATFORM
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM
42 St - Port Authority Bus Terminal - (ID: 56),EL291X,STREET TO INTERMEDIATE LANDING
Brooklyn Bridge - City Hall - (ID: 33),EL314,STREET TO MEZZANINE
West 4 St - Washington Sq - (ID: 55),EL333,STREET TO MEZZANINE
Crown Hts - Utica Av - (ID: 54),EL323,MEZZANINE TO PLATFORMS
34 St - Penn - (ID: 53),EL225,STREET TO UPTOWN LOCAL PLATFORM
Lexington Av / 63 St - (ID: 17),EL402,MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM
34 St - Hudson Yards - (ID: 52),EL600,PLATFORM TO LOWER MEZZANINE
34 St - Hudson Yards - (ID: 52),EL602,LOWER MEZZANINE TO UPPER MEZZANINE
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM
190 St - (ID: 51),EL120,LOWER MEZZANINE TO STREET
47-50 St - Rockefeller Ctr - (ID: 50),EL236,MEZZANINE TO DOWNTOWN
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE
96 St - (ID: 42),EL146,STREET TO UPTOWN PLATFORM
Lexington Av / 63 St - (ID: 17),EL401,STREET TO MEZZANINE
Kew Gardens / Union Tpk - (ID: 48),EL435,MEZZANINE TO UPTOWN
168 St - (ID: 47),EL111,LOWER MEZZANINE TO UPPER MEZZANINE
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM
233 St - (ID: 44),EL194,MEZZANINE TO SOUTHBOUND PLATFORM
72 St - (ID: 43),EL240,STREET TO DOWNTOWN PLATFORM
