elevator,reason,out_of_service,first_missed,estimated_return
EL401,Maintenance,2018-02-23 04:43:00+00:00,2018-02-23 09:52:07.483687+00:00,2018-02-23 11:00:00+00:00
EL125,Maintenance,2018-02-23 04:30:00+00:00,2018-02-23 07:17:07.806389+00:00,2018-02-23 11:00:00+00:00
EL104,Access Improvements,2018-02-23 04:35:00+00:00,2018-02-23 10:37:07.840373+00:00,2018-02-23 11:00:00+00:00
EL408,Maintenance,2018-02-23 04:04:00+00:00,2018-02-23 09:29:08.559633+00:00,2018-02-23 11:00:00+00:00
EL440,Under Investigation,2018-02-22 23:06:00+00:00,2018-02-22 23:19:07.530166+00:00,2018-02-23 12:00:00+00:00
EL276X,Repair,2018-02-21 12:00:00+00:00,2018-02-23 01:48:07.106623+00:00,2018-02-23 13:00:00+00:00
EL440,Under Investigation,2018-02-21 13:36:00+00:00,2018-02-21 17:20:06.632803+00:00,2018-02-23 14:00:00+00:00
EL148,Under Investigation,2018-02-21 14:40:00+00:00,2018-02-21 23:16:09.042615+00:00,2018-02-23 14:00:00+00:00
EL110,Under Investigation,2018-02-21 14:50:00+00:00,2018-02-21 17:23:07.451347+00:00,2018-02-23 14:00:00+00:00
EL441,Under Investigation,2018-02-21 13:36:00+00:00,2018-02-21 15:39:32.892644+00:00,2018-02-23 14:00:00+00:00
EL700X,Repair,2018-02-23 02:38:00+00:00,2018-02-25 10:19:07.271072+00:00,2018-02-23 15:00:00+00:00
EL393,Repair,2018-02-21 14:50:00+00:00,2018-02-21 20:20:07.894056+00:00,2018-02-23 15:00:00+00:00
EL103,Under Investigation,2018-02-21 15:45:00+00:00,2018-02-21 17:20:06.632803+00:00,2018-02-23 16:00:00+00:00
EL421,Under Investigation,2018-02-21 15:20:00+00:00,2018-02-21 17:54:07.478969+00:00,2018-02-23 16:00:00+00:00
EL394,Repair,2018-02-21 15:00:00+00:00,2018-02-22 00:03:07.739305+00:00,2018-02-23 16:00:00+00:00
EL218,Repair,2018-02-21 15:31:00+00:00,2018-02-21 18:36:07.919807+00:00,2018-02-23 16:00:00+00:00
EL440,Under Investigation,2018-02-23 04:25:00+00:00,2018-02-23 06:54:05.981935+00:00,2018-02-23 17:00:00+00:00
EL315,Under Investigation,2018-02-21 17:48:00+00:00,2018-02-21 22:04:08.874260+00:00,2018-02-23 18:00:00+00:00
EL342,Under Investigation,2018-02-21 17:50:00+00:00,2018-02-22 09:46:08.360920+00:00,2018-02-23 18:00:00+00:00
EL339,Under Investigation,2018-02-21 17:37:00+00:00,2018-02-21 22:20:08.290272+00:00,2018-02-23 18:00:00+00:00
EL142,Repair,2018-02-18 17:42:00+00:00,2018-02-24 23:59:07.064093+00:00,2018-02-23 18:00:00+00:00
EL760,Under Investigation,2018-02-21 18:06:00+00:00,2018-02-21 18:51:07.275230+00:00,2018-02-23 18:07:00+00:00
EL404,Access Improvements,2018-02-23 15:30:00+00:00,2018-02-23 18:16:07.991997+00:00,2018-02-23 19:00:00+00:00
EL403,Access Improvements,2018-02-23 16:10:00+00:00,2018-02-23 17:18:06.759667+00:00,2018-02-23 19:00:00+00:00
EL306,Under Investigation,2018-02-21 18:20:00+00:00,2018-02-21 20:53:07.770605+00:00,2018-02-23 19:00:00+00:00
EL319,Under Investigation,2018-02-21 18:10:00+00:00,2018-02-21 22:39:06.523380+00:00,2018-02-23 19:00:00+00:00
EL212,Under Investigation,2018-02-23 15:10:00+00:00,2018-02-23 19:31:08.122384+00:00,2018-02-23 20:00:00+00:00
EL716,Repair,2018-02-23 14:25:00+00:00,2018-02-23 20:31:08.402346+00:00,2018-02-23 20:00:00+00:00
EL309,Under Investigation,2018-02-23 07:05:00+00:00,2018-02-23 09:44:08.023144+00:00,2018-02-23 20:00:00+00:00
EL308,Under Investigation,2018-02-23 07:55:00+00:00,2018-02-23 09:35:06.745375+00:00,2018-02-23 20:00:00+00:00
EL376,Under Investigation,2018-02-23 07:19:00+00:00,2018-02-23 09:17:07.875660+00:00,2018-02-23 20:00:00+00:00
EL709,Under Investigation,2018-02-21 19:41:00+00:00,2018-02-21 22:44:07.118690+00:00,2018-02-23 20:00:00+00:00
EL132,Repair,2018-02-23 14:55:00+00:00,2018-02-23 19:29:08.670642+00:00,2018-02-23 21:00:00+00:00
EL244,Maintenance,2018-02-23 04:28:00+00:00,2018-02-23 10:42:07.728503+00:00,2018-02-23 21:00:00+00:00
EL340,Under Investigation,2018-02-21 20:20:00+00:00,2018-02-22 00:15:06.188699+00:00,2018-02-23 21:00:00+00:00
EL383,Under Investigation,2018-02-21 20:28:00+00:00,2018-02-22 10:35:07.667891+00:00,2018-02-23 21:00:00+00:00
EL104,Under Investigation,2018-02-22 21:14:00+00:00,2018-02-23 00:24:05.985327+00:00,2018-02-23 22:00:00+00:00
EL209,Under Investigation,2018-02-21 21:26:00+00:00,2018-02-22 17:29:06.934800+00:00,2018-02-23 22:00:00+00:00
EL315,Under Investigation,2018-02-21 22:24:00+00:00,2018-02-22 00:39:07.060194+00:00,2018-02-23 23:00:00+00:00
EL700X,Repair,2018-02-21 22:04:00+00:00,2018-02-22 08:53:08.441075+00:00,2018-02-23 23:00:00+00:00
EL244,Repair,2018-02-23 15:25:00+00:00,2018-02-23 20:20:07.366654+00:00,2018-02-24 00:00:00+00:00
EL706,Repair,2018-02-22 23:05:00+00:00,2018-02-23 21:49:08.144934+00:00,2018-02-24 00:00:00+00:00
EL443,Under Investigation,2018-02-21 23:08:00+00:00,2018-02-21 23:25:06.513069+00:00,2018-02-24 00:00:00+00:00
EL442,Under Investigation,2018-02-21 23:01:00+00:00,2018-02-21 23:25:06.513069+00:00,2018-02-24 00:00:00+00:00
EL328,Under Investigation,2018-02-22 00:35:00+00:00,2018-02-22 02:06:06.519111+00:00,2018-02-24 01:00:00+00:00
EL723,Under Investigation,2018-02-23 13:32:00+00:00,2018-02-23 16:43:06.553486+00:00,2018-02-24 02:00:00+00:00
EL247,Repair,2018-02-23 17:29:00+00:00,2018-02-23 17:57:08.269154+00:00,2018-02-24 03:00:00+00:00
EL103,Under Investigation,2018-02-23 15:03:00+00:00,2018-02-23 16:43:06.553486+00:00,2018-02-24 03:00:00+00:00
EL440,Under Investigation,2018-02-23 14:07:00+00:00,2018-02-23 16:07:07.881552+00:00,2018-02-24 03:00:00+00:00
EL323,Under Investigation,2018-02-23 15:04:00+00:00,2018-02-23 20:39:07.096229+00:00,2018-02-24 04:00:00+00:00
EL107,Under Investigation,2018-02-22 03:27:00+00:00,2018-02-22 05:19:07.736301+00:00,2018-02-24 04:00:00+00:00
EL333,Under Investigation,2018-02-22 16:58:00+00:00,2018-02-22 18:50:06.352415+00:00,2018-02-24 05:00:00+00:00
EL393,Under Investigation,2018-02-22 16:19:00+00:00,2018-02-22 19:56:07.468141+00:00,2018-02-24 05:00:00+00:00
EL195,Under Investigation,2018-02-22 05:50:00+00:00,2018-02-22 10:19:07.515550+00:00,2018-02-24 05:00:00+00:00
EL435,Under Investigation,2018-02-22 05:31:00+00:00,2018-02-22 08:15:08.440942+00:00,2018-02-24 06:00:00+00:00
EL420,Under Investigation,2018-02-23 19:30:00+00:00,2018-02-23 23:37:08.333063+00:00,2018-02-24 08:00:00+00:00
EL267,Under Investigation,2018-02-23 20:58:00+00:00,2018-02-24 00:34:07.916603+00:00,2018-02-24 09:00:00+00:00
EL219,Maintenance,2018-02-23 20:10:00+00:00,2018-02-23 21:40:06.202428+00:00,2018-02-24 09:00:00+00:00
EL249,Modifications In Progress,2018-02-24 03:20:00+00:00,2018-02-24 09:32:06.903841+00:00,2018-02-24 10:00:00+00:00
EL249,Modifications In Progress,2018-02-24 03:22:00+00:00,2018-02-24 07:52:07.725944+00:00,2018-02-24 10:00:00+00:00
EL110,Repair,2018-02-23 21:04:00+00:00,2018-02-23 23:16:07.893228+00:00,2018-02-24 10:00:00+00:00
EL325,Repair,2018-02-23 21:46:00+00:00,2018-02-24 01:53:08.965777+00:00,2018-02-24 10:00:00+00:00
EL110,Under Investigation,2018-02-23 21:02:00+00:00,2018-02-23 21:57:07.058926+00:00,2018-02-24 10:00:00+00:00
EL244,Maintenance,2018-02-24 07:46:00+00:00,2018-02-24 10:19:06.352348+00:00,2018-02-24 11:00:00+00:00
EL401,Maintenance,2018-02-24 04:50:00+00:00,2018-02-24 09:02:08.085120+00:00,2018-02-24 11:00:00+00:00
EL408,Maintenance,2018-02-24 04:05:00+00:00,2018-02-24 10:01:07.089586+00:00,2018-02-24 11:00:00+00:00
EL227,Maintenance,2018-02-24 03:42:00+00:00,2018-02-24 10:03:07.337497+00:00,2018-02-24 11:00:00+00:00
EL250,Access Improvements,2018-02-24 03:25:00+00:00,2018-02-24 09:35:06.428725+00:00,2018-02-24 11:00:00+00:00
EL244,Repair,2018-02-22 10:05:00+00:00,2018-02-23 02:04:06.846502+00:00,2018-02-24 11:00:00+00:00
EL204,Under Investigation,2018-02-23 23:39:00+00:00,2018-02-24 02:38:07.620919+00:00,2018-02-24 12:00:00+00:00
EL302,Under Investigation,2018-02-23 23:05:00+00:00,2018-02-24 01:15:07.322395+00:00,2018-02-24 12:00:00+00:00
EL214,Maintenance,2018-02-24 04:43:00+00:00,2018-02-24 06:31:07.897223+00:00,2018-02-24 13:00:00+00:00
EL244,Repair,2018-02-24 01:25:00+00:00,2018-02-24 07:47:07.775962+00:00,2018-02-24 13:00:00+00:00
EL391,Under Investigation,2018-02-24 00:18:00+00:00,2018-02-24 01:59:07.880977+00:00,2018-02-24 13:00:00+00:00
EL602,Under Investigation,2018-02-22 12:37:00+00:00,2018-02-22 15:10:06.822757+00:00,2018-02-24 13:00:00+00:00
EL443,Under Investigation,2018-02-22 12:22:00+00:00,2018-02-22 17:33:07.675989+00:00,2018-02-24 13:00:00+00:00
EL105,Under Investigation,2018-02-22 12:00:00+00:00,2018-02-22 13:34:08.513127+00:00,2018-02-24 13:00:00+00:00
EL125,Maintenance,2018-02-24 04:57:00+00:00,2018-02-24 10:04:07.892720+00:00,2018-02-24 14:00:00+00:00
EL125,Under Investigation,2018-02-24 01:48:00+00:00,2018-02-24 04:57:08.386950+00:00,2018-02-24 14:00:00+00:00
EL105,Repair,2018-02-24 01:37:00+00:00,2018-02-24 07:50:06.656201+00:00,2018-02-24 14:00:00+00:00
EL600,Under Investigation,2018-02-22 13:32:00+00:00,2018-02-22 14:16:08.221497+00:00,2018-02-24 14:00:00+00:00
EL420,Maintenance,2018-02-24 04:35:00+00:00,2018-02-24 09:28:07.776213+00:00,2018-02-24 15:00:00+00:00
EL213,Under Investigation,2018-02-24 02:18:00+00:00,2018-02-24 04:27:06.599884+00:00,2018-02-24 15:00:00+00:00
EL402,Under Investigation,2018-02-22 14:41:00+00:00,2018-02-22 15:40:07.176156+00:00,2018-02-24 15:00:00+00:00
EL107,Maintenance,2018-02-24 04:22:00+00:00,2018-02-24 05:02:08.938521+00:00,2018-02-24 16:00:00+00:00
EL291X,Repair,2018-02-22 15:00:00+00:00,2018-02-23 00:53:07.808636+00:00,2018-02-24 16:00:00+00:00
