station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
Dekalb Av - (ID: 12),EL371,MEZZANINE TO UPTOWN,2018-03-11T05:05:00.000Z,2018-03-11T09:32:07.920Z,2018-03-11T13:00:00.000Z,4.4522
Prospect Park - (ID: 37),EL382,STREET TO UPTOWN PLATFORM,2018-03-11T05:01:00.000Z,2018-03-11T07:43:09.509Z,2018-03-11T13:00:00.000Z,2.7026413888888885
51 St - (ID: 20),EL201,UPTOWN PLATFORM TO PASSAGEWAY,2018-03-11T05:05:00.000Z,2018-03-11T07:03:09.022Z,2018-03-11T09:00:00.000Z,1.9691727777777779
Myrtle Av / Wyckoff Av - (ID: 76),EL396,STREET TO MEZZANINE AND M TRANSFER PASSAGEWAY,2018-03-11T04:10:00.000Z,2018-03-11T06:07:08.587Z,2018-03-11T11:00:00.000Z,1.952385277777778
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7),2018-03-11T03:40:00.000Z,2018-03-11T06:59:08.434Z,2018-03-11T11:00:00.000Z,3.3190094444444442
East 180 St - (ID: 87),EL160,STREET TO DOWNTOWN PLATFORM,2018-03-11T04:32:00.000Z,2018-03-11T10:56:08.223Z,2018-03-11T09:00:00.000Z,6.402284166666667
East 180 St - (ID: 87),EL160,STREET TO DOWNTOWN PLATFORM,2018-03-11T04:00:00.000Z,2018-03-11T04:38:07.599Z,2018-03-11T09:00:00.000Z,0.6354441666666667
Hunts Point - (ID: 46),EL196,NORTHBOUND PLATFORM TO MEZZANINE,2018-03-11T04:25:00.000Z,2018-03-11T09:30:06.720Z,2018-03-11T09:00:00.000Z,5.0852
42 St - Port Authority Bus Terminal - (ID: 56),EL290X,INTERMEDIATE LANDING TO MEZZANINE,2018-03-10T22:30:00.000Z,2018-03-11T19:22:08.975Z,2018-03-11T07:00:00.000Z,20.86915972222222
168 St - (ID: 47),EL114,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-11T03:24:00.000Z,2018-03-11T08:06:07.972Z,2018-03-11T09:00:00.000Z,4.702214444444445
34 St - Penn - (ID: 7),EL215,MEZZANINE TO EXPRESS PLATFORM,2018-03-10T23:56:00.000Z,2018-03-11T02:02:08.574Z,2018-03-11T07:00:00.000Z,2.1023816666666666
190 St - (ID: 51),EL115,LOWER MEZZANINE TO STREET,2018-03-10T23:39:00.000Z,2018-03-10T23:59:08.950Z,2018-03-11T07:00:00.000Z,0.33581944444444445
Dyckman St - (ID: 95),EL178,STREET TO DOWNTOWN PLATFORM,2018-03-10T22:57:00.000Z,2018-03-11T01:36:07.574Z,2018-03-11T07:00:00.000Z,2.652103888888889
168 St - (ID: 47),EL111,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T22:18:00.000Z,2018-03-11T02:10:07.851Z,2018-03-11T07:00:00.000Z,3.8688475
Flushing Av - (ID: 26),EL395,MEZZANINE TO UPTOWN,2018-03-10T22:38:00.000Z,2018-03-11T00:44:08.218Z,2018-03-11T06:00:00.000Z,2.102282777777778
181 St - (ID: 5),EL108,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T22:10:00.000Z,2018-03-11T00:55:08.649Z,2018-03-11T07:00:00.000Z,2.7524025
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T22:10:00.000Z,2018-03-10T23:55:06.670Z,2018-03-11T07:00:00.000Z,1.7518527777777777
Borough Hall - (ID: 85),EL317,STREET TO MEZZANINE,2018-03-10T21:43:00.000Z,2018-03-10T23:29:08.630Z,2018-03-11T03:00:00.000Z,1.769063888888889
42 St - Grand Central - (ID: 49),EL206,MEZZANINE TO UPTOWN 4/5/6 PLATFORM,2018-03-10T21:00:00.000Z,2018-03-11T06:20:07.877Z,2018-03-11T05:00:00.000Z,9.335521388888889
34 St - Hudson Yards - (ID: 52),EL601,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T19:00:00.000Z,2018-03-11T09:25:07.386Z,2018-03-11T10:00:00.000Z,14.418718333333334
Fulton St - (ID: 13),EL732,PLATFORM TO MEZZANINE,2018-03-10T20:35:00.000Z,2018-03-11T08:46:07.606Z,2018-03-11T06:00:00.000Z,12.18544611111111
14 St - Union Sq - (ID: 36),EL219,MEZZANINE TO UPTOWN PLATFORM N/Q/R,2018-03-10T20:40:00.000Z,2018-03-11T00:31:08.219Z,2018-03-11T02:00:00.000Z,3.852283055555555
Atlantic Av-Barclays Ctr - (ID: 9),EL305,MEZZANINE TO 4/ 5 PLATFORM,2018-03-10T19:12:00.000Z,2018-03-10T23:04:07.441Z,2018-03-11T03:00:00.000Z,3.8687336111111112
Myrtle Av / Wyckoff Av - (ID: 76),EL396,STREET TO MEZZANINE AND M TRANSFER PASSAGEWAY,2018-03-10T18:13:00.000Z,2018-03-11T01:58:09.192Z,2018-03-11T02:00:00.000Z,7.752553333333333
191 St - (ID: 28),EL105,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T17:15:00.000Z,2018-03-11T02:23:08.986Z,2018-03-11T01:00:00.000Z,9.135829444444445
190 St - (ID: 51),EL115,LOWER MEZZANINE TO STREET,2018-03-10T16:39:00.000Z,2018-03-10T17:18:07.085Z,2018-03-11T01:00:00.000Z,0.6519680555555555
190 St - (ID: 51),EL120,LOWER MEZZANINE TO STREET,2018-03-10T16:30:00.000Z,2018-03-10T20:05:07.791Z,2018-03-11T01:00:00.000Z,3.5854975
Pelham Bay Park - (ID: 94),EL122,CENTER ISLAND PLATFORM/ INTERMEDIATE-EMPLOYEE ONLY/ MEZZANINE,2018-03-10T15:54:00.000Z,2018-03-10T18:31:08.287Z,2018-03-11T00:00:00.000Z,2.6189686111111112
72 St - (ID: 43),EL239,STREET TO UPTOWN PLATFORM,2018-03-10T16:09:00.000Z,2018-03-10T18:37:07.683Z,2018-03-11T00:00:00.000Z,2.4688008333333333
Forest Hills - 71 Av - (ID: 69),EL437,STREET TO MEZZANINE ALL TRAINS,2018-03-10T15:55:00.000Z,2018-03-10T17:11:08.952Z,2018-03-10T23:00:00.000Z,1.2691533333333334
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-03-10T15:35:00.000Z,2018-03-10T16:16:07.928Z,2018-03-11T00:00:00.000Z,0.6855355555555555
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-10T14:18:00.000Z,2018-03-10T16:56:08.231Z,2018-03-10T19:00:00.000Z,2.635619722222222
175 St - (ID: 57),EL123,STREET TO MEZZANINE,2018-03-10T12:13:00.000Z,2018-03-10T15:45:07.540Z,2018-03-11T03:00:00.000Z,3.535427777777778
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE,2018-03-10T12:20:00.000Z,2018-03-10T23:17:08.856Z,2018-03-10T20:00:00.000Z,10.95246
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T11:24:00.000Z,2018-03-10T14:03:07.521Z,2018-03-10T19:00:00.000Z,2.652089166666667
42 St - Port Authority Bus Terminal - (ID: 56),EL291X,STREET TO INTERMEDIATE LANDING,2018-03-10T06:30:00.000Z,2018-03-10T16:44:08.252Z,2018-03-10T15:00:00.000Z,10.235625555555554
42 St - Port Authority Bus Terminal - (ID: 56),EL290X,INTERMEDIATE LANDING TO MEZZANINE,2018-03-10T06:30:00.000Z,2018-03-10T16:45:07.562Z,2018-03-10T15:00:00.000Z,10.252100555555556
168 St - (ID: 47),EL112,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T09:10:00.000Z,2018-03-10T10:58:09.732Z,2018-03-10T11:00:00.000Z,1.8027033333333333
Lexington Av / 63 St - (ID: 17),EL402,MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM,2018-03-10T08:36:00.000Z,2018-03-10T09:52:07.833Z,2018-03-10T16:00:00.000Z,1.2688425
Prospect Park - (ID: 37),EL382,STREET TO UPTOWN PLATFORM,2018-03-10T07:53:00.000Z,2018-03-10T12:28:08.691Z,2018-03-10T16:00:00.000Z,4.585747499999999
Bowling Green - (ID: 71),EL710,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-10T07:43:00.000Z,2018-03-10T08:49:09.327Z,2018-03-10T16:00:00.000Z,1.1025908333333334
South Ferry - (ID: 93),EL731,MEZZANINE TO PLATFORM,2018-03-10T07:45:00.000Z,2018-03-10T10:01:08.757Z,2018-03-10T11:00:00.000Z,2.2690991666666664
Flushing Av - (ID: 26),EL394,MEZZANINE TO DOWNTOWN,2018-03-10T07:30:00.000Z,2018-03-10T10:17:08.576Z,2018-03-10T11:00:00.000Z,2.7857155555555555
181 St - (ID: 58),EL117,LOWER MEZZANINE TO STREET,2018-03-10T06:55:00.000Z,2018-03-10T09:07:07.692Z,2018-03-10T10:00:00.000Z,2.2021366666666666
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL449X,STREET TO TA MEZZANINE AND LIRR OVERPASS,2018-03-10T05:50:00.000Z,2018-03-12T16:57:08.607Z,2018-03-10T14:00:00.000Z,59.119057500000004
Pelham Pkwy - (ID: 90),EL136,STREET TO MEZZANINE,2018-03-10T05:28:00.000Z,2018-03-10T06:11:08.601Z,2018-03-10T10:00:00.000Z,0.7190558333333334
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T05:10:00.000Z,2018-03-10T05:58:07.771Z,2018-03-10T06:00:00.000Z,0.8021586111111111
34 St - Hudson Yards - (ID: 52),EL602,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-10T04:55:00.000Z,2018-03-10T17:07:09.747Z,2018-03-10T17:00:00.000Z,12.2027075
Hunts Point - (ID: 46),EL196,NORTHBOUND PLATFORM TO MEZZANINE,2018-03-10T04:29:00.000Z,2018-03-10T09:58:08.537Z,2018-03-10T10:00:00.000Z,5.485704722222223
179 St - Jamaica - (ID: 4),EL431,STREET TO MEZZANINE,2018-03-10T04:35:00.000Z,2018-03-10T09:59:08.787Z,2018-03-10T10:00:00.000Z,5.402440833333333
Flushing Av - (ID: 26),EL393,STREET TO MEZZANINE,2018-03-10T04:45:00.000Z,2018-03-10T07:25:08.095Z,2018-03-10T11:00:00.000Z,2.668915277777778
Euclid Av - (ID: 32),EL343,MEZZANINE TO DOWNTOWN,2018-03-10T04:35:00.000Z,2018-03-10T09:54:06.987Z,2018-03-10T10:00:00.000Z,5.318607500000001
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-10T04:40:00.000Z,2018-03-10T09:50:07.197Z,2018-03-10T10:00:00.000Z,5.168665833333334
Clark St - (ID: 10),EL310,LOWER MEZZANINE TO STREET,2018-03-10T04:00:00.000Z,2018-03-10T09:36:07.355Z,2018-03-10T11:00:00.000Z,5.602043055555556
Times Sq - 42 St - (ID: 18),EL229,MEZZANINE TO DOWNTOWN,2018-03-10T04:30:00.000Z,2018-03-10T10:22:08.448Z,2018-03-10T11:00:00.000Z,5.869013333333333
South Ferry - (ID: 93),EL730,STREET TO MEZZANINE,2018-03-10T04:10:00.000Z,2018-03-10T07:37:08.436Z,2018-03-10T11:00:00.000Z,3.4523433333333333
East 180 St - (ID: 87),EL160,STREET TO DOWNTOWN PLATFORM,2018-03-09T22:06:00.000Z,2018-03-10T03:46:08.238Z,2018-03-10T07:00:00.000Z,5.668955
West 4 St - Washington Sq - (ID: 55),EL333,STREET TO MEZZANINE,2018-03-09T22:17:00.000Z,2018-03-10T00:54:07.601Z,2018-03-10T07:00:00.000Z,2.618778055555556
Pelham Pkwy - (ID: 90),EL138,MEZZANINE NORTHBOUND PLATFORM,2018-03-09T22:05:00.000Z,2018-03-10T01:31:08.500Z,2018-03-10T07:00:00.000Z,3.4356944444444446
Pelham Pkwy - (ID: 90),EL137,MEZZANINE TO SOUTHBOUND PLATFORM,2018-03-09T22:05:00.000Z,2018-03-10T02:19:08.996Z,2018-03-10T07:00:00.000Z,4.235832222222222
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-09T21:50:00.000Z,2018-03-09T23:18:07.620Z,2018-03-10T03:00:00.000Z,1.4687833333333333
168 St - (ID: 81),EL139,STREET TO MEZZANINE,2018-03-09T21:36:00.000Z,2018-03-10T00:11:07.856Z,2018-03-10T08:00:00.000Z,2.5855155555555553
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-09T19:29:00.000Z,2018-03-09T22:42:06.551Z,2018-03-10T04:00:00.000Z,3.218486388888889
51 St - (ID: 20),EL202,DOWNTOWN PLATFORM TO PASSAGEWAY,2018-03-09T19:05:00.000Z,2018-03-09T22:30:07.184Z,2018-03-10T04:00:00.000Z,3.4186622222222223
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-09T19:30:00.000Z,2018-03-09T20:56:08.762Z,2018-03-10T04:00:00.000Z,1.4357672222222222
86 St / 2 Av - (ID: 65),EL250,MEZZANINE TO STREET,2018-03-09T19:49:00.000Z,2018-03-10T00:53:08.431Z,2018-03-10T04:00:00.000Z,5.069008611111111
Fulton St - (ID: 13),EL716,3 LANDINGS,2018-03-09T20:00:00.000Z,2018-03-10T02:24:08.382Z,2018-03-10T16:00:00.000Z,6.402328333333333
190 St - (ID: 51),EL120,LOWER MEZZANINE TO STREET,2018-03-09T18:41:00.000Z,2018-03-10T02:31:08.343Z,2018-03-10T03:00:00.000Z,7.835650833333333
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-09T16:55:00.000Z,2018-03-10T01:15:07.278Z,2018-03-10T01:00:00.000Z,8.335355
Simpson St - (ID: 38),EL128,STREET TO DOWNTOWN PLATFORM,2018-03-09T16:36:00.000Z,2018-03-09T20:14:08.336Z,2018-03-10T01:00:00.000Z,3.6356488888888885
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE,2018-03-09T16:29:00.000Z,2018-03-09T17:33:07.327Z,2018-03-10T01:00:00.000Z,1.0687019444444446
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN,2018-03-09T16:23:00.000Z,2018-03-09T19:38:08.282Z,2018-03-10T01:00:00.000Z,3.2523005555555553
Atlantic Av-Barclays Ctr - (ID: 9),EL304,MEZZANINE TO DOWNTOWN 2/3 PLATFORM,2018-03-09T15:54:00.000Z,2018-03-09T17:34:09.310Z,2018-03-10T01:00:00.000Z,1.669252777777778
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-09T15:46:00.000Z,2018-03-09T16:34:08.137Z,2018-03-10T00:00:00.000Z,0.8022602777777779
168 St - (ID: 81),EL139,STREET TO MEZZANINE,2018-03-09T14:58:00.000Z,2018-03-09T17:25:06.920Z,2018-03-10T03:00:00.000Z,2.451922222222222
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS,2018-03-09T15:06:00.000Z,2018-03-09T18:54:08.220Z,2018-03-09T21:00:00.000Z,3.8022833333333335
Franklin Av - (ID: 31),EL339,STREET TO DOWNTOWN C PLATFORM AND S PLATFORM,2018-03-09T14:27:00.000Z,2018-03-09T20:40:06.563Z,2018-03-09T21:00:00.000Z,6.2184897222222215
Bay Parkway - (ID: 59),EL377,MEZZANINE TO UPTOWN,2018-03-09T14:15:00.000Z,2018-03-09T20:49:09.294Z,2018-03-09T21:00:00.000Z,6.569248333333334
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-09T14:01:00.000Z,2018-03-09T20:43:08.533Z,2018-03-09T22:00:00.000Z,6.702370277777778
96 St - (ID: 42),EL145,STREET TO DOWNTOWN PLATFORM,2018-03-09T14:00:00.000Z,2018-03-09T20:01:07.894Z,2018-03-09T22:00:00.000Z,6.018859444444445
Bay Parkway - (ID: 59),EL376,STREET TO MEZZANINE,2018-03-09T13:13:00.000Z,2018-03-09T16:01:07.505Z,2018-03-09T22:00:00.000Z,2.802084722222222
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-09T13:09:00.000Z,2018-03-09T13:59:08.571Z,2018-03-09T21:00:00.000Z,0.8357141666666666
Atlantic Av-Barclays Ctr - (ID: 8),EL303,MEZZANINE TO UPTOWN,2018-03-09T11:55:00.000Z,2018-03-09T15:34:07.371Z,2018-03-09T20:00:00.000Z,3.6520475
Atlantic Av-Barclays Ctr - (ID: 8),EL301,STREET TO MEZZANINE,2018-03-09T11:55:00.000Z,2018-03-09T13:38:08.160Z,2018-03-09T20:00:00.000Z,1.7189333333333332
191 St - (ID: 28),EL103,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-09T11:05:00.000Z,2018-03-09T13:02:07.804Z,2018-03-09T19:00:00.000Z,1.9521677777777777
42 St - Port Authority Bus Terminal - (ID: 56),EL290X,INTERMEDIATE LANDING TO MEZZANINE,2018-03-09T05:05:00.000Z,2018-03-09T16:39:08.243Z,2018-03-09T14:00:00.000Z,11.568956388888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-09T09:46:00.000Z,2018-03-09T10:38:07.982Z,2018-03-09T11:00:00.000Z,0.8688838888888888
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-03-09T09:31:00.000Z,2018-03-09T10:38:07.982Z,2018-03-09T22:00:00.000Z,1.1188838888888888
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-09T09:12:00.000Z,2018-03-09T15:39:07.026Z,2018-03-09T10:00:00.000Z,6.451951666666668
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN,2018-03-09T08:12:00.000Z,2018-03-09T09:56:08.653Z,2018-03-09T17:00:00.000Z,1.7357369444444444
Broadway-Lafayette/Bleecker St - (ID: 40),EL331,UPTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM,2018-03-09T07:45:00.000Z,2018-03-09T09:26:08.667Z,2018-03-09T09:00:00.000Z,1.6857408333333335
181 St - (ID: 58),EL118,LOWER MEZZANINE TO STREET,2018-03-09T06:55:00.000Z,2018-03-09T09:02:08.270Z,2018-03-09T09:00:00.000Z,2.118963888888889
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL449X,STREET TO TA MEZZANINE AND LIRR OVERPASS,2018-03-09T06:25:00.000Z,2018-03-09T23:00:07.337Z,2018-03-09T11:00:00.000Z,16.58537138888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL330,DOWNTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM,2018-03-09T06:10:00.000Z,2018-03-09T07:41:07.586Z,2018-03-09T07:30:00.000Z,1.5187738888888889
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-09T05:55:00.000Z,2018-03-09T09:13:08.587Z,2018-03-09T09:00:00.000Z,3.302385277777778
Atlantic Av-Barclays Ctr - (ID: 9),EL305,MEZZANINE TO 4/ 5 PLATFORM,2018-03-09T05:43:00.000Z,2018-03-09T09:33:07.799Z,2018-03-09T14:00:00.000Z,3.8354997222222225
23 St - (ID: 86),EL299,SOUTHBOUND PLATFORM TO STREET,2018-03-09T05:25:00.000Z,2018-03-09T08:33:07.747Z,2018-03-09T08:00:00.000Z,3.1354852777777773
135 St - (ID: 19),EL181,STREET TO MEZZANINE AND DOWNTOWN PLATFORM,2018-03-09T05:15:00.000Z,2018-03-09T09:42:07.595Z,2018-03-09T10:00:00.000Z,4.452109722222222
Lexington Av / 53 St - (ID: 88),EL245,MEZZANINE TO PLATFORM,2018-03-09T05:09:00.000Z,2018-03-09T09:23:09.030Z,2018-03-09T09:15:00.000Z,4.235841666666667
Euclid Av - (ID: 32),EL343,MEZZANINE TO DOWNTOWN,2018-03-09T04:52:00.000Z,2018-03-09T09:47:07.257Z,2018-03-09T10:00:00.000Z,4.918682500000001
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-03-09T04:45:00.000Z,2018-03-09T09:37:08.119Z,2018-03-09T09:00:00.000Z,4.868921944444444
Broadway-Lafayette/Bleecker St - (ID: 40),EL329,DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-09T04:47:00.000Z,2018-03-09T06:06:08.391Z,2018-03-09T07:00:00.000Z,1.3189974999999998
Times Sq - 42 St - (ID: 18),EL232,MEZZANINE TO DOWNTOWN PLATFORM & 7 PLATFORM,2018-03-09T04:35:00.000Z,2018-03-09T10:23:08.481Z,2018-03-09T10:00:00.000Z,5.802355833333333
Pelham Pkwy - (ID: 90),EL136,STREET TO MEZZANINE,2018-03-09T04:40:00.000Z,2018-03-09T09:58:08.224Z,2018-03-09T10:00:00.000Z,5.302284444444443
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-09T04:27:00.000Z,2018-03-09T05:36:07.014Z,2018-03-09T13:00:00.000Z,1.1519483333333334
34 St - Herald Sq - (ID: 22),EL209,MEZZANINE TO DOWNTOWN,2018-03-09T04:22:00.000Z,2018-03-09T09:38:08.567Z,2018-03-09T10:20:00.000Z,5.269046388888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-09T04:15:00.000Z,2018-03-09T09:49:07.858Z,2018-03-09T10:00:00.000Z,5.568849444444444
179 St - Jamaica - (ID: 4),EL431,STREET TO MEZZANINE,2018-03-09T04:11:00.000Z,2018-03-09T10:01:08.504Z,2018-03-09T09:50:00.000Z,5.835695555555556
Court Square - (ID: 68),EL445X,STREET TO MEZZANINE,2018-03-08T23:01:00.000Z,2018-03-09T10:40:08.834Z,2018-03-09T07:00:00.000Z,11.652453888888889
Briarwood/Van Wyck Blvd - (ID: 70),EL424,STREET TO MEZZANINE,2018-03-09T02:08:00.000Z,2018-03-09T05:22:08.851Z,2018-03-09T11:00:00.000Z,3.2357919444444447
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-09T00:49:00.000Z,2018-03-09T19:51:08.730Z,2018-03-09T09:00:00.000Z,19.03575833333333
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-09T00:20:00.000Z,2018-03-09T02:25:06.736Z,2018-03-09T12:00:00.000Z,2.0852044444444444
Queens Plaza - (ID: 84),EL428,STREET TO MEZZANINE,2018-03-09T00:05:00.000Z,2018-03-09T02:05:07.256Z,2018-03-09T10:00:00.000Z,2.002015555555556
191 St - (ID: 28),EL105,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-08T23:50:00.000Z,2018-03-09T02:42:08.040Z,2018-03-09T08:00:00.000Z,2.8689000000000004
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-08T20:40:00.000Z,2018-03-08T22:33:08.016Z,2018-03-09T05:00:00.000Z,1.8855599999999997
Court Square - (ID: 68),EL445X,STREET TO MEZZANINE,2018-03-08T17:18:00.000Z,2018-03-08T23:04:08.145Z,2018-03-09T02:00:00.000Z,5.768929166666667
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-08T18:34:00.000Z,2018-03-12T23:01:08.172Z,2018-03-09T03:00:00.000Z,100.45227
Jay St - Metrotech - (ID: 16),EL707,MEZZANINE AND UPTOWN,2018-03-08T18:24:00.000Z,2018-03-08T18:41:08.911Z,2018-03-09T03:00:00.000Z,0.28580861111111117
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-03-08T17:47:00.000Z,2018-03-08T19:10:06.886Z,2018-03-09T02:00:00.000Z,1.3852461111111112
34 St - Hudson Yards - (ID: 52),EL600,PLATFORM TO LOWER MEZZANINE,2018-03-08T17:51:00.000Z,2018-03-08T18:10:07.184Z,2018-03-09T02:00:00.000Z,0.31866222222222224
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-03-08T17:23:00.000Z,2018-03-08T17:52:08.089Z,2018-03-09T02:00:00.000Z,0.48558027777777774
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-03-08T16:57:00.000Z,2018-03-08T17:13:08.529Z,2018-03-09T01:00:00.000Z,0.26903583333333336
Fulton St - (ID: 13),EL720,CENTER ISLAND LOWER PLATFORM TO MEZZANINE,2018-03-08T17:02:00.000Z,2018-03-08T17:11:08.287Z,2018-03-09T02:00:00.000Z,0.15230194444444445
Queens Plaza - (ID: 84),EL429,MEZZANINE TO DOWNTOWN,2018-03-08T16:17:00.000Z,2018-03-08T21:50:08.534Z,2018-03-09T01:00:00.000Z,5.552370555555555
Briarwood/Van Wyck Blvd - (ID: 70),EL424,STREET TO MEZZANINE,2018-03-08T16:03:00.000Z,2018-03-08T18:29:08.503Z,2018-03-09T00:00:00.000Z,2.4356952777777776
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-03-08T16:03:00.000Z,2018-03-08T18:03:08.855Z,2018-03-08T21:00:00.000Z,2.002459722222222
Jay St - Metrotech - (ID: 16),EL707,MEZZANINE AND UPTOWN,2018-03-08T15:55:00.000Z,2018-03-08T18:10:07.184Z,2018-03-08T21:00:00.000Z,2.2519955555555553
Bay Parkway - (ID: 59),EL377,MEZZANINE TO UPTOWN,2018-03-08T15:35:00.000Z,2018-03-08T20:33:08.234Z,2018-03-09T00:00:00.000Z,4.968953888888889
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-03-08T15:30:00.000Z,2018-03-08T19:32:09.601Z,2018-03-08T20:00:00.000Z,4.036000277777778
Court St - (ID: 11),EL308,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-08T15:20:00.000Z,2018-03-08T19:20:06.513Z,2018-03-08T23:00:00.000Z,4.001809166666667
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-08T14:40:00.000Z,2018-03-08T20:18:08.478Z,2018-03-08T21:00:00.000Z,5.635688333333333
Franklin Av - (ID: 31),EL339,STREET TO DOWNTOWN C PLATFORM AND S PLATFORM,2018-03-08T14:35:00.000Z,2018-03-08T20:31:08.290Z,2018-03-08T21:00:00.000Z,5.935636111111111
Bay Parkway - (ID: 59),EL376,STREET TO MEZZANINE,2018-03-08T14:12:00.000Z,2018-03-08T15:32:07.606Z,2018-03-08T21:00:00.000Z,1.3354461111111111
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE,2018-03-08T14:00:00.000Z,2018-03-09T10:12:11.038Z,2018-03-08T22:00:00.000Z,20.203066111111113
96 St - (ID: 42),EL145,STREET TO DOWNTOWN PLATFORM,2018-03-08T14:06:00.000Z,2018-03-08T19:28:07.635Z,2018-03-08T20:30:00.000Z,5.368787499999999
34 St - Hudson Yards - (ID: 52),EL602,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-08T12:34:00.000Z,2018-03-09T00:58:08.664Z,2018-03-08T21:00:00.000Z,12.402406666666666
181 St - (ID: 5),EL109,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-08T12:25:00.000Z,2018-03-08T15:38:07.771Z,2018-03-08T21:00:00.000Z,3.218825277777778
181 St - (ID: 5),EL109,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-08T12:19:00.000Z,2018-03-08T12:26:07.516Z,2018-03-08T21:00:00.000Z,0.11875444444444444
72 St / 2 Av - (ID: 62),EL266,LOWER MEZZANINE TO STREET,2018-03-08T10:38:00.000Z,2018-03-08T16:38:07.080Z,2018-03-08T19:00:00.000Z,6.001966666666667
