station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
42 St - Port Authority Bus Terminal - (ID: 56),EL290X,INTERMEDIATE LANDING TO MEZZANINE,2018-03-31T14:30:00.000Z,2018-04-02T22:01:27.431Z,2018-03-31T23:00:00.000Z,55.52428638888889
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-31T16:20:00.000Z,2018-03-31T18:37:08.415Z,2018-04-01T00:00:00.000Z,2.2856708333333335
Lexington Av / 53 St - (ID: 88),EL245,MEZZANINE TO PLATFORM,2018-03-31T15:44:00.000Z,2018-03-31T18:14:08.370Z,2018-04-01T00:00:00.000Z,2.5023250000000004
Far Rockaway - Mott Av - (ID: 67),EL498,STREET TO PLATFORM,2018-03-31T15:12:00.000Z,2018-04-02T22:05:09.963Z,2018-04-01T00:00:00.000Z,54.88610083333333
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-03-31T14:00:00.000Z,2018-04-01T01:49:13.592Z,2018-04-01T00:00:00.000Z,11.820442222222221
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-03-31T15:23:00.000Z,2018-03-31T15:34:10.528Z,2018-04-01T00:00:00.000Z,0.18625777777777777
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-31T14:52:00.000Z,2018-03-31T16:05:08.789Z,2018-03-31T23:00:00.000Z,1.2191080555555556
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-03-31T14:15:00.000Z,2018-03-31T14:40:07.714Z,2018-03-31T22:00:00.000Z,0.4188094444444444
Forest Hills - 71 Av - (ID: 69),EL437,STREET TO MEZZANINE ALL TRAINS,2018-03-31T14:01:00.000Z,2018-03-31T17:23:10.217Z,2018-04-01T00:00:00.000Z,3.3695047222222225
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-31T14:05:00.000Z,2018-03-31T15:37:08.455Z,2018-03-31T22:00:00.000Z,1.5356819444444445
